"COURSE","ITYPE","SECTION","SUFFIX","EXTERNAL_ID","DATE_PATTERN","DAY","START_TIME","END_TIME","ROOM","INSTRUCTOR","SCHEDULE_NOTE"
"MT MT-OT","Lec  ","1","","1","Full Term","TWTh","3:30p","4:30p","NCSE NC27","Ankita Mali","MT-AI"
"MT MT-OT","Lab  ","1","","1","Full Term","F","8:30a","10:30a","ENTCX CET-D","Ankita Mali","MT-AI"
"MT MT-WNS","Lec  ","1","","1","Full Term","TWTh","2:30p","3:30p","ENTCX SH","Deepak Kshirsagar","MT-CSIS"
"MT MT-WNS","Lab  ","1","","1","Full Term","W","4:30p","6:30p","CSED Cogni-3","Deepak Kshirsagar","MTCSIS-A"
"MT MT-WNS","Lab  ","2","","2","Full Term","M","2:30p","4:30p","CSED Cogni-3","Deepak Kshirsagar","MTCSIS-B"
"MT PSEC2-BT","Lab  ","1","","1","Full Term","T","8:30a","11:30a","CSED Cogni-1","Afsha Akkalkot","MTCSIS-A"
"MT PSEC2-CCS","Lab  ","1","","1","Full Term","T","8:30a","11:30a","CSED DBMSL","Tanuja Pattanshetti","MTCSIS-B"
"MT PSEC2-CCV","Lab  ","1","","1","Full Term","F","8:30a","11:30a","ENTCX SH","Tanuja Pattanshetti","MTCE-A"
"MT PSEC2-CV","Lab  ","1","","1","Full Term","M","1:30p","4:30p","AC AC-202NC-06","Aparna Biswas","MTDS-A,B"
"MT PSEC2-EAI","Lab  ","1","","1","Full Term","M","8:30a","11:30a","NCSE NC27","Charulata Patil (Tenured)","MTAI-DE2A"
"MT PSEC2-MLPS","Lab  ","1","","1","Full Term","T","8:30a","11:30a","AC AC-203NC-07","Akanksha Mudhe","MTAI-DE2B"
"MT PSEC2-MTRP","Lab  ","1","","1","Full Term","M","1:30p","4:30p","ENTCX SH","Abhiraj Ubale","MTDS-C,D"
"MT PSEC2-NLP","Lab  ","1","","1","Full Term","W","3:30p","6:30p","CSED Cogni-2","Yashodhara Haribhakta","MTCE-B"
"MT PSEC3-DL","Lab  ","1","","1","Full Term","W","3:30p","6:30p","CSED Cogni-34","Suraj Sawant","MTCE-DE3A"
"MT PSEC3-GAN","Lab  ","1","","1","Full Term","M","10:30a","1:30p","ENTCX SH","Sneha Chavan","MTDS-DE3A"
"MT PSEC3-GNN","Lab  ","1","","1","Full Term","F","12:30p","3:30p","AC AC-203NC-07","Pratiksha Deshmukh","MTAI-DE3B"
"MT PSEC3-ITS","Lab  ","1","","1","Full Term","F","8:30a","11:30a","CSED PL","Siddharth Gaikwad","MTCSIS-DE3B"
"MT PSEC3-MT","Lab  ","1","","1","Full Term","W","3:30p","6:30p","CSED ASL","Soma Ghosh","MTCE-DE3B"
"MT PSEC3-WS","Lab  ","1","","1","Full Term","F","3:30p","6:30p","CSED Cogni-1","Trishna Ugale","MTCSIS-DE3A"
